givens,proportion,inside,outside,level,level-dev,variables,variables-dev,used,used-dev,original,original-dev,conflicts,conflicts-dev,learned,learned-dev,limit,limit-dev,agility,agility-dev,memory,memory-dev
50,0.45,22.00,28.00,109.98,7.85,1892.42,54.97,48.74,2.26,318.05,7.13,39.37,22.61,15.66,15.76,1001.13,11.28,1.02,0.78,2.30,0.00
50,0.50,25.00,25.00,114.54,6.35,1885.03,39.65,48.63,1.95,314.15,5.47,34.41,21.50,15.30,15.97,1001.76,13.15,0.94,0.75,2.30,0.00
50,0.55,27.00,23.00,117.09,5.92,1909.31,31.50,47.73,1.84,312.73,4.30,23.70,15.60,13.34,10.62,1000.35,6.38,0.84,0.56,2.30,0.00
50,0.60,30.00,20.00,121.31,6.75,1940.46,23.43,46.39,1.65,313.69,2.84,19.68,16.70,14.10,14.58,1001.30,11.40,0.84,0.68,2.30,0.00
50,0.65,32.00,18.00,126.68,6.22,1981.24,26.39,45.41,1.64,315.08,2.46,17.95,15.11,14.11,13.62,1001.46,12.01,0.84,0.61,2.30,0.01
50,0.70,35.00,15.00,132.99,4.97,2035.60,17.69,43.80,1.58,317.34,1.42,13.99,9.10,13.14,8.94,1000.46,6.80,0.79,0.47,2.27,0.05
60,0.00,0.00,60.00,72.10,13.04,1891.22,22.51,57.16,5.45,344.75,0.79,126.86,140.98,125.07,139.67,1073.79,110.82,5.49,2.84,2.30,0.02
60,0.05,3.00,57.00,74.99,11.89,1871.49,21.58,55.76,4.62,341.78,0.92,83.34,84.43,81.47,84.27,1039.63,71.65,4.45,2.54,2.30,0.01
60,0.10,6.00,54.00,75.32,10.93,1850.28,32.70,54.65,3.89,337.85,2.90,60.50,54.88,54.36,54.55,1018.43,46.36,3.54,2.17,2.30,0.00
60,0.15,9.00,51.00,76.63,11.62,1818.60,49.55,54.61,3.56,332.94,5.54,57.40,47.91,45.25,47.20,1012.99,39.33,3.11,2.01,2.30,0.00
60,0.20,12.00,48.00,78.52,9.87,1787.64,58.56,54.12,3.14,328.07,6.25,47.15,32.72,29.94,29.33,1004.52,22.17,2.26,1.54,2.30,0.00
60,0.25,15.00,45.00,82.91,9.39,1740.76,73.90,54.50,2.93,320.07,8.87,50.95,29.16,23.85,24.27,1002.92,17.88,1.74,1.30,2.30,0.00
60,0.30,18.00,42.00,87.32,8.51,1696.95,70.44,54.96,2.65,310.69,10.01,50.18,26.57,18.47,19.71,1001.73,13.51,1.28,1.02,2.30,0.00
60,0.35,21.00,39.00,91.52,8.01,1695.18,57.90,54.60,2.38,307.34,8.21,45.43,25.00,17.28,19.39,1002.09,14.74,1.15,0.95,2.30,0.00
60,0.40,24.00,36.00,94.13,7.50,1687.51,41.97,54.37,2.01,302.10,6.89,35.28,24.05,16.71,19.29,1001.94,14.28,1.07,0.91,2.30,0.00
60,0.45,27.00,33.00,98.73,7.30,1714.44,33.84,53.06,1.97,301.50,4.91,25.36,17.33,13.18,13.14,1000.74,8.77,0.86,0.71,2.30,0.00
60,0.50,30.00,30.00,105.13,6.98,1762.10,26.45,51.70,1.82,301.84,3.89,19.39,16.37,13.95,14.89,1001.35,11.82,0.87,0.71,2.30,0.00
60,0.55,33.00,27.00,110.55,6.48,1802.67,18.69,50.61,1.68,304.26,2.50,16.85,16.84,14.50,16.27,1001.47,12.58,0.89,0.72,2.30,0.00
60,0.60,36.00,24.00,115.83,6.33,1864.39,22.84,48.63,1.74,307.33,2.53,14.90,14.22,13.40,13.91,1001.42,11.85,0.82,0.66,2.30,0.00
70,0.00,0.00,70.00,58.77,11.16,1706.41,25.88,63.50,5.10,334.31,1.89,137.39,137.57,133.04,137.30,1079.13,110.06,6.18,2.82,2.30,0.02
70,0.05,4.00,66.00,58.35,10.11,1675.29,33.73,61.26,4.53,329.83,2.59,83.89,77.28,77.46,77.09,1035.50,65.36,4.66,2.64,2.30,0.00
70,0.10,7.00,63.00,60.66,10.72,1650.68,47.35,60.62,3.83,325.25,5.11,66.99,52.99,54.97,52.92,1018.21,45.82,3.85,2.28,2.30,0.00
70,0.15,11.00,59.00,64.26,9.74,1589.37,77.03,60.70,3.38,314.32,10.80,59.38,35.53,32.75,31.68,1005.12,24.13,2.57,1.70,2.30,0.00
70,0.20,14.00,56.00,68.33,8.55,1534.91,83.46,60.67,3.04,305.20,11.48,57.75,28.68,21.64,21.39,1002.17,15.10,1.69,1.23,2.30,0.00
70,0.25,18.00,52.00,72.18,8.34,1495.90,70.60,61.20,2.71,295.62,11.22,53.19,27.22,19.10,21.56,1001.98,15.04,1.45,1.18,2.30,0.00
70,0.30,21.00,49.00,74.71,7.84,1495.18,58.31,60.68,2.53,292.10,10.00,46.21,29.26,18.62,24.85,1002.80,18.77,1.29,1.13,2.30,0.00
